ID_CURSO,ID_SEXO,ID_RACA,ID_TURNO,IN_ACAO_AFIRMATIVA,IN_APOIO_SOCIAL,IN_APOIO_ALIMENTACAO,IN_APOIO_MORADIA,IN_APOIO_TRANSPORTE,IN_APOIO_MATERIAL_DIDATICO,IN_APOIO_BOLSA_PERMANENCIA,IN_APOIO_BOLSA_TRABALHO,TOTAL_ALUNOS,RECEBE_AUXILIO,IDPNA,TOTAL_IDPNA
13401,2,2,4,1,1,1,0,0,0,0,0,3,1,0,0
13401,2,0,4,0,0,0,0,0,0,0,0,7,0,0,0
13401,1,1,4,1,0,0,0,0,0,0,0,19,0,1,19
13401,1,0,4,0,0,0,0,0,0,0,0,4,0,0,0
13401,2,1,4,1,0,0,0,0,0,0,0,97,0,1,97
13401,2,2,4,1,0,0,0,0,0,0,0,8,0,1,8
13401,1,3,4,0,0,0,0,0,0,0,0,5,0,0,0
13401,2,1,4,1,1,1,1,1,0,0,0,2,1,0,0
13401,2,3,4,1,1,1,0,1,0,0,0,4,1,0,0
13401,2,1,4,0,1,1,0,0,0,0,1,2,1,0,0
13401,2,2,4,1,1,1,1,1,0,0,0,2,1,0,0
13401,2,3,4,0,1,0,0,0,0,1,0,3,1,0,0
13401,2,1,4,0,1,0,0,0,0,0,1,7,1,0,0
13401,2,3,4,0,1,0,0,1,0,0,0,3,1,0,0
13401,2,1,4,1,1,1,0,0,0,1,0,2,1,0,0
13401,2,2,4,0,0,0,0,0,0,0,0,8,0,0,0
13401,2,3,4,0,0,0,0,0,0,0,0,42,0,0,0
13401,2,0,4,1,0,0,0,0,0,0,0,13,0,1,13
13401,1,0,4,1,0,0,0,0,0,0,0,2,0,1,2
13401,2,1,4,1,1,0,0,0,0,1,0,2,1,0,0
13401,2,3,4,1,1,1,0,0,0,0,1,2,1,0,0
13401,2,3,4,1,0,0,0,0,0,0,0,116,0,1,116
13401,1,3,4,1,1,1,0,0,0,0,0,6,1,0,0
13401,2,4,4,1,0,0,0,0,0,0,0,3,0,1,3
13401,2,3,4,1,1,0,0,0,0,0,1,2,1,0,0
13401,2,0,4,1,1,0,0,0,0,1,0,2,1,0,0
13401,2,3,4,1,1,1,0,0,0,0,0,36,1,0,0
13401,1,1,4,0,0,0,0,0,0,0,0,14,0,0,0
13402,1,1,4,1,0,0,0,0,0,0,0,13,0,1,13
13402,1,0,4,1,0,0,0,0,0,0,0,6,0,1,6
13402,1,3,4,1,1,1,0,0,0,0,0,6,1,0,0
13402,2,1,4,0,1,0,0,0,0,1,0,4,1,0,0
13402,1,3,4,0,0,0,0,0,0,0,0,3,0,0,0
13402,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0
13402,2,3,4,1,0,0,0,0,0,0,0,36,0,1,36
13402,2,1,3,0,1,1,0,0,0,0,0,2,1,0,0
13402,1,3,4,1,0,0,0,0,0,0,0,18,0,1,18
13402,2,0,3,1,0,0,0,0,0,0,0,5,0,1,5
13402,2,3,4,1,1,1,0,0,0,0,0,4,1,0,0
13402,1,2,3,0,0,0,0,0,0,0,0,4,0,0,0
13402,2,2,3,0,0,0,0,0,0,0,0,3,0,0,0
13402,1,2,3,1,0,0,0,0,0,0,0,2,0,1,2
13402,1,1,3,0,0,0,0,0,0,0,0,7,0,0,0
13402,2,0,4,1,0,0,0,0,0,0,0,6,0,1,6
13402,1,3,3,0,0,0,0,0,0,0,0,7,0,0,0
13402,1,0,3,0,0,0,0,0,0,0,0,4,0,0,0
13402,2,1,3,0,0,0,0,0,0,0,0,15,0,0,0
13402,2,1,4,1,0,0,0,0,0,0,0,10,0,1,10
13402,1,2,4,1,0,0,0,0,0,0,0,6,0,1,6
13402,2,3,3,1,0,0,0,0,0,0,0,65,0,1,65
13402,2,1,3,1,0,0,0,0,0,0,0,25,0,1,25
13402,2,2,3,1,0,0,0,0,0,0,0,12,0,1,12
13402,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0
13402,2,3,3,1,1,1,0,0,0,0,0,3,1,0,0
13402,1,3,3,0,1,1,0,0,0,0,0,2,1,0,0
13402,1,1,4,0,0,0,0,0,0,0,0,6,0,0,0
13402,2,2,4,1,0,0,0,0,0,0,0,6,0,1,6
13402,2,1,3,1,1,0,0,0,0,1,0,3,1,0,0
13402,2,3,4,0,0,0,0,0,0,0,0,8,0,0,0
